2018-12-14 17:41:31.636832=398.91600608825684
2018-12-14 17:41:31.784303=344.18249130249023
2018-12-14 17:41:32.043774=400.7759094238281
2018-12-14 17:41:32.303185=459.96713638305664
2018-12-14 17:41:32.421619=372.51877784729004
2018-12-14 17:41:32.607779=358.59155654907227
2018-12-14 17:41:32.863305=413.6629104614258
2018-12-14 17:41:32.992891=341.536283493042
2018-12-14 17:41:33.202522=350.7041931152344
2018-12-14 17:41:33.457709=405.7037830352783
2018-12-14 17:41:33.652013=398.79822731018066
2018-12-14 17:41:33.867005=412.26935386657715
2018-12-14 17:41:33.893048=394.38843727111816
2018-12-14 17:41:34.014929=355.8979034423828
2018-12-14 17:41:34.210212=351.4404296875
2018-12-14 17:41:34.423651=364.124059677124
2018-12-14 17:41:34.624559=363.781213760376
2018-12-14 17:41:34.809614=348.4537601470947
2018-12-14 17:41:35.092174=430.0100803375244
2018-12-14 17:41:35.219580=356.20713233947754
2018-12-14 17:41:35.426531=363.0061149597168
2018-12-14 17:41:35.674646=410.8281135559082
2018-12-14 17:41:35.919768=454.61583137512207
2018-12-14 17:41:36.042569=376.62529945373535
2018-12-14 17:41:36.169416=30.18951416015625
2018-12-14 17:41:36.221065=354.9923896789551
2018-12-14 17:41:36.446221=378.9207935333252
2018-12-14 17:41:36.632953=365.3912544250488
2018-12-14 17:41:36.857098=388.52524757385254
2018-12-14 17:41:37.011866=341.7091369628906
2018-12-14 17:41:37.235550=364.1505241394043
2018-12-14 17:41:37.471944=399.5208740234375
2018-12-14 17:41:37.635034=361.7691993713379
2018-12-14 17:41:37.832238=352.56266593933105
2018-12-14 17:41:37.842601=343.4290885925293
2018-12-14 17:41:38.029045=349.0874767303467
2018-12-14 17:41:38.239319=359.12489891052246
2018-12-14 17:41:38.396904=361.4659309387207
2018-12-14 17:41:38.435241=353.99746894836426
2018-12-14 17:41:38.693157=411.09204292297363
2018-12-14 17:41:38.829080=346.13966941833496
2018-12-14 17:41:39.096172=410.4642868041992
